Group ID,Population,Species,Copper,Replicate,Day,Alive_Juv,Alive_Adult,Dead_Juv,Dead_Adult,Comments
A,Commercial,BC,low,1,1,3,3,0,0,
A,Postpollution,BC,low,6,1,3,3,0,0,no eggs
A,Recovery,BU,low,1,1,3,3,0,0,no eggs
A,Pollution,BU,low,2,1,3,3,0,0,
A,Commercial,BC,medium,6,1,3,3,0,0,
A,Postpollution,BC,medium,2,1,3,3,0,0,2 no eggs
A,Postpollution,BC,medium,4,1,3,3,0,0,1 no egg
A,Recovery,BU,medium,4,1,3,3,0,0, no eggs
A,Recovery,BU,high,4,1,3,3,0,0,no eggs
A,Pollution,BU,high,3,1,3,3,0,0,no eggs
A,Commercial,BC,high,4,1,3,3,0,0,
A,Postpollution,BC,high,2,1,3,3,0,0,no eggs
B,Pollution,BU,low,1,1,3,3,0,0,3 with eggs
B,Pollution,BU,medium,1,1,3,3,0,0,3 eggs
B,Pollution,BU,medium,6,1,3,3,0,0,1 egg
B,Recovery,BU,medium,2,1,3,3,0,0,1egg
B,Postpollution,BC,low,2,1,3,3,0,0,no eggs
B,Recovery,BU,low,2,1,3,3,0,0,1 egg
B,Pollution,BU,low,3,1,3,3,0,0,no eggs
B,Postpollution,BC,high,3,1,3,3,0,0,3 eggs
B,Postpollution,BC,high,4,1,3,3,0,0,1 egg
B,Recovery,BU,high,6,1,3,3,0,0,1 egg
B,Commercial,BC,high,3,1,3,3,0,0,3 eggs
B,Pollution,BU,high,2,1,3,3,0,0,1 egg
C,Recovery,BU,low,3,1,3,3,0,0,
C,Recovery,BU,low,5,1,3,3,0,0,
C,Postpollution,BC,low,3,1,3,3,0,0,
C,Pollution,BU,low,6,1,3,3,0,0,
C,Commercial,BC,low,4,1,3,3,0,0,
C,Commercial,BC,low,3,1,3,3,0,0,
C,Recovery,BU,medium,3,1,3,3,0,0,
C,Recovery,BU,medium,5,1,3,3,0,0,
C,Commercial,BC,medium,1,1,3,3,0,0,
C,Recovery,BU,high,5,1,3,3,0,0,
C,Postpollution,BC,high,6,1,3,2,0,0,
C,Commercial,BC,high,5,1,3,3,0,0,
D,Recovery,BU,low,6,1,3,3,0,0,2 no eggs
D,Postpollution,BC,low,5,1,3,3,0,0,3 no eggs
D,Pollution,BU,low,4,1,3,3,0,0,
D,Recovery,BU,low,4,1,3,3,0,0,2 no eggs
D,Pollution,BU,medium,5,1,3,3,0,0,
D,Commercial,BC,medium,3,1,3,3,0,0,
D,Postpollution,BC,medium,3,1,3,3,0,0,3 no eggs
D,Recovery,BU,medium,6,1,3,3,0,0,1 no eggs
D,Pollution,BU,high,6,1,3,3,0,0,1 no eggs
D,Commercial,BC,high,2,1,3,3,0,0,
D,Recovery,BU,high,2,1,3,3,0,0,
D,Postpollution,BC,high,1,1,3,3,0,0,3 no eggs
E,Pollution,BU,low,5,1,3,3,0,0,
E,Commercial,BC,low,5,1,3,3,0,0,
E,Commercial,BC,low,6,1,3,3,0,0,
E,Commercial,BC,low,2,1,3,3,0,0,
E,Postpollution,BC,low,1,1,3,3,0,0,
E,Commercial,BC,medium,5,1,3,3,0,0,
E,Postpollution,BC,medium,5,1,4,2,0,0,
E,Pollution,BU,medium,3,1,3,3,0,0,
E,Pollution,BU,medium,4,1,6,0,0,0,
E,Pollution,BU,medium,2,1,3,3,0,0,
E,Recovery,BU,high,3,1,4,2,0,0,
E,Commercial,BC,high,1,1,3,3,0,0,
F,Postpollution,BC,low,4,1,3,3,0,0,
F,Pollution,BU,high,1,1,3,3,0,0,
F,Pollution,BU,high,4,1,3,3,0,0,
F,Pollution,BU,high,5,1,3,3,0,0,
F,Recovery,BU,high,1,1,3,3,0,0,
F,Postpollution,BC,high,5,1,3,3,0,0,
F,Commercial,BC,high,6,1,3,3,0,0,
F,Commercial,BC,medium,2,1,3,3,0,0,
F,Commercial,BC,medium,4,1,3,3,0,0,
F,Postpollution,BC,medium,6,1,0,6,0,0,Could also have been 6 juveniles. 6 of the same size.
F,Postpollution,BC,medium,1,1,3,3,0,0,
F,Recovery,BU,medium,1,1,0,6,0,0,
A,Commercial,BC,low,1,2,6,7,0,2,
A,Postpollution,BC,low,6,2,0,2,0,4,
A,Recovery,BU,low,1,2,2,6,0,0,
A,Pollution,BU,low,2,2,1,5,0,0,
A,Commercial,BC,medium,6,2,5,8,0,0,
A,Postpollution,BC,medium,2,2,1,3,0,2,
A,Postpollution,BC,medium,4,2,3,4,1,1,
A,Recovery,BU,medium,4,2,0,4,0,2,
A,Recovery,BU,high,4,2,5,3,0,1,
A,Pollution,BU,high,3,2,1,3,0,2,
A,Commercial,BC,high,4,2,5,7,0,4,
A,Postpollution,BC,high,2,2,1,2,0,1,
B,Pollution,BU,low,1,2,5,4,0,0,
B,Pollution,BU,medium,1,2,2,4,0,0,
B,Pollution,BU,medium,6,2,0,6,0,0,
B,Recovery,BU,medium,2,2,1,2,2,1,
B,Postpollution,BC,low,2,2,1,2,0,1,
B,Recovery,BU,low,2,2,3,4,1,0,
B,Pollution,BU,low,3,2,1,6,0,0,
B,Postpollution,BC,high,3,2,1,5,0,0,
B,Postpollution,BC,high,4,2,0,2,2,0,
B,Recovery,BU,high,6,2,2,4,0,0,
B,Commercial,BC,high,3,2,1,8,2,0,
B,Pollution,BU,high,2,2,2,6,0,0,
C,Recovery,BU,low,3,2,3,4,0,0,3 eggs
C,Recovery,BU,low,5,2,1,4,0,1,2 eggs
C,Postpollution,BC,low,3,2,1,6,0,1,2 eggs
C,Pollution,BU,low,6,2,1,6,0,1,3 eggs
C,Commercial,BC,low,4,2,5,6,0,1,5 eggs
C,Commercial,BC,low,3,2,4,4,0,0,3 eggs
C,Recovery,BU,medium,3,2,0,7,0,0,5 eggs
C,Recovery,BU,medium,5,2,1,5,0,1,no eggs
C,Commercial,BC,medium,1,2,1,6,1,0,5 eggs
C,Recovery,BU,high,5,2,1,5,0,1,no eggs
C,Postpollution,BC,high,6,2,1,2,1,1,no eggs
C,Commercial,BC,high,5,2,7,6,0,0,5 eggs
D,Recovery,BU,low,6,2,2,3,1,0,
D,Postpollution,BC,low,5,2,0,0,3,3,all dead
D,Pollution,BU,low,4,2,2,7,0,0,7 with eggs
D,Recovery,BU,low,4,2,3,3,0,0,
D,Pollution,BU,medium,5,2,6,8,0,0,
D,Commercial,BC,medium,3,2,6,4,0,2,
D,Postpollution,BC,medium,3,2,2,2,3,1,
D,Recovery,BU,medium,6,2,2,3,0,1,
D,Pollution,BU,high,6,2,3,2,0,2,
D,Commercial,BC,high,2,2,4,7,0,0,
D,Recovery,BU,high,2,2,3,3,0,0,
D,Postpollution,BC,high,1,2,2,2,1,1,
E,Pollution,BU,low,5,2,1,0,3,3,withou egggs
E,Commercial,BC,low,5,2,8,4,2,0,
E,Commercial,BC,low,6,2,10,4,0,0,
E,Commercial,BC,low,2,2,5,4,0,0,
E,Postpollution,BC,low,1,2,1,4,1,0,without eggs
E,Commercial,BC,medium,5,2,7,4,0,0,
E,Postpollution,BC,medium,5,2,1,4,1,1,without eggs
E,Pollution,BU,medium,3,2,2,4,0,0,2 without eggs
E,Pollution,BU,medium,4,2,2,5,0,0,six of same size
E,Pollution,BU,medium,2,2,4,3,6,0,
E,Recovery,BU,high,3,2,3,3,0,0,1 without egg
E,Commercial,BC,high,1,2,5,3,2,0,
F,Postpollution,BC,low,4,2,0,1,0,0,
F,Pollution,BU,high,1,2,2,7,1,2,
F,Pollution,BU,high,4,2,0,3,3,0,1 female with resting egg
F,Pollution,BU,high,5,2,0,0,0,1,
F,Recovery,BU,high,1,2,3,4,1,0,
F,Postpollution,BC,high,5,2,1,4,1,0,
F,Commercial,BC,high,6,2,2,3,0,0,
F,Commercial,BC,medium,2,2,7,7,0,0,
F,Commercial,BC,medium,4,2,4,5,1,0,
F,Postpollution,BC,medium,6,2,7,4,0,0,
F,Postpollution,BC,medium,1,2,0,4,0,1,Males present.
F,Recovery,BU,medium,1,2,0,6,0,0,5 of the females with resting eggs.
A,Commercial,BC,low,1,3,16,10,0,2,
A,Postpollution,BC,low,6,3,0,0,0,1,
A,Recovery,BU,low,1,3,3,6,0,0,
A,Pollution,BU,low,2,3,1,11,0,1,
A,Commercial,BC,medium,6,3,11,15,0,0,
A,Postpollution,BC,medium,2,3,2,4,0,0,
A,Postpollution,BC,medium,4,3,3,3,0,1,
A,Recovery,BU,medium,4,3,5,2,0,0,
A,Recovery,BU,high,4,3,2,6,0,0,
A,Pollution,BU,high,3,3,1,2,0,0,
A,Commercial,BC,high,4,3,12,12,0,2,
A,Postpollution,BC,high,2,3,0,1,0,0,
B,Pollution,BU,low,1,3,4,8,0,0,
B,Pollution,BU,medium,1,3,1,2,0,3,
B,Pollution,BU,medium,6,3,1,7,0,1,
B,Recovery,BU,medium,2,3,2,5,0,0,
B,Postpollution,BC,low,2,3,1,6,0,1,
B,Recovery,BU,low,2,3,5,6,0,1,
B,Pollution,BU,low,3,3,2,7,0,2,
B,Postpollution,BC,high,3,3,3,8,1,0,
B,Postpollution,BC,high,4,3,0,1,1,1,
B,Recovery,BU,high,6,3,0,5,0,1,
B,Commercial,BC,high,3,3,12,16,0,0,
B,Pollution,BU,high,2,3,3,9,0,0,
C,Recovery,BU,low,3,3,2,4,0,1,2 eggs
C,Recovery,BU,low,5,3,1,5,0,0,1 egg
C,Postpollution,BC,low,3,3,3,5,0,0,5 eggs
C,Pollution,BU,low,6,3,8,11,0,0,4 eggs
C,Commercial,BC,low,4,3,4,13,0,0,9 eggs
C,Commercial,BC,low,3,3,8,10,0,0,
C,Recovery,BU,medium,3,3,1,9,0,0,6 eggs
C,Recovery,BU,medium,5,3,0,4,0,2,3 eggs
C,Commercial,BC,medium,1,3,5,11,0,0,7 eggs
C,Recovery,BU,high,5,3,0,6,0,0,1 egg
C,Postpollution,BC,high,6,3,0,1,0,2,1 egg
C,Commercial,BC,high,5,3,15,18,0,0,12 eggs
D,Recovery,BU,low,6,3,3,3,1,0,
D,Postpollution,BC,low,5,3,0,0,0,0,
D,Pollution,BU,low,4,3,2,7,0,1,
D,Recovery,BU,low,4,3,7,5,0,0,
D,Pollution,BU,medium,5,3,13,9,0,0,
D,Commercial,BC,medium,3,3,9,8,0,0,
D,Postpollution,BC,medium,3,3,5,7,0,1,
D,Recovery,BU,medium,6,3,2,2,1,0,
D,Pollution,BU,high,6,3,2,2,0,1,
D,Commercial,BC,high,2,3,3,10,0,0,
D,Recovery,BU,high,2,3,3,4,0,0,
D,Postpollution,BC,high,1,3,3,4,1,0,
E,Pollution,BU,low,5,3,2,1,0,0,
E,Commercial,BC,low,5,3,17,14,0,0,
E,Commercial,BC,low,6,3,16,13,1,0,
E,Commercial,BC,low,2,3,11,6,0,0,
E,Postpollution,BC,low,1,3,4,4,0,0,
E,Commercial,BC,medium,5,3,16,11,1,1,
E,Postpollution,BC,medium,5,3,1,1,0,2,
E,Pollution,BU,medium,3,3,3,3,0,0,one male egg
E,Pollution,BU,medium,4,3,10,6,0,0,
E,Pollution,BU,medium,2,3,4,3,0,1,
E,Recovery,BU,high,3,3,5,4,0,1,
E,Commercial,BC,high,1,3,6,6,0,0,
F,Postpollution,BC,low,4,3,1,3,1,0,
F,Pollution,BU,high,1,3,4,9,0,0,
F,Pollution,BU,high,4,3,0,3,0,0,
F,Pollution,BU,high,5,3,1,2,0,0,
F,Recovery,BU,high,1,3,1,7,0,0,Males present.
F,Postpollution,BC,high,5,3,1,3,0,2,
F,Commercial,BC,high,6,3,16,11,0,0,
F,Commercial,BC,medium,2,3,8,12,4,0,
F,Commercial,BC,medium,4,3,8,11,0,0,
F,Postpollution,BC,medium,6,3,0,0,0,1,
F,Postpollution,BC,medium,1,3,3,3,0,1,Males present.
F,Recovery,BU,medium,1,3,5,7,0,0,3 with resting eggs